Year ,Section,Total Landed (lbs),kg,kt,Area
1997,025,28228,12830.90909,0.012830909,2
1997,021,18216,8280,0.00828,2
1997,024,5987,2721.363636,0.002721364,1
1997,0,52431,23832.27273,0.023832273,0
1998,006,21322,9691.818182,0.009691818,3
1998,025,16097,7316.818182,0.007316818,2
1998,021,7777,3535,0.003535,2
1998,024,71160,32345.45455,0.032345455,1
1998,,116356,52889.09091,0.052889091,0
1999,025,75070,34122.72727,0.034122727,2
1999,021,51417,23371.36364,0.023371364,2
1999,024,10283,4674.090909,0.004674091,1
1999,,136770,62168.18182,0.062168182,0
2000,024,65496,29770.90909,0.029770909,1
2000,021,4757,2162.272727,0.002162273,2
2000,025,92834,42197.27273,0.042197273,2
2000,,163087,74130.45455,0.074130455,0
2001,021,28047,12748.63636,0.012748636,2
2001,021,95302,43319.09091,0.043319091,2
2001,025,1226,557.2727273,0.000557273,2
2001,024,36107,16412.27273,0.016412273,1
2001,,160682,73037.27273,0.073037273,0
2002,006,14433,6560.454545,0.006560455,3
2002,021,28112,12778.18182,0.012778182,2
2002,021,57613,26187.72727,0.026187727,2
2002,021,15329,6967.727273,0.006967727,2
2002,022,1232,560,0.00056,0
2002,,116719,53054.09091,0.053054091,0
2003,025,20431,9286.818182,0.009286818,2
2003,025,64147,29157.72727,0.029157727,2
2003,021,8852,4023.636364,0.004023636,2
2003,021,40670,18486.36364,0.018486364,2
2003,024,34859,15845,0.015845,1
2003,,168959,76799.54545,0.076799545,0
2004,025,62872,28578.18182,0.028578182,2
2004,025,15096,6861.818182,0.006861818,2
2004,021,53044,24110.90909,0.024110909,2
2004,024,21945,9975,0.009975,1
2004,,152957,69525.90909,0.069525909,0
