Year,Harvest
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,40.82328
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,10096.95792
1992,8017.2386
1993,1871.974184
1994,11640.985088
1995,8883.145728
1996,0
1997,23526.456264
1998,7291.944992
1999,14543.066704
2000,11220.505304
2001,29528.8392
2002,14747.636696
2003,1799.853056
2004,3526.6778
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
